Model,FeatureSelection,Scaler,Number of features,Rmse,R2 Score(train),R2 Score(test),Params
AdaBoostRegressor,VarianceThreshold,StandardScaler(),16,250351.84755044183,0.6338036119199556,0.5854120212283092,"{'base_estimator': None, 'learning_rate': 0.01, 'loss': 'linear', 'n_estimators': 500, 'random_state': 42}"
AdaBoostRegressor,VarianceThreshold,RobustScaler(),16,250502.75513085435,0.6340902346970214,0.5849120582703855,"{'base_estimator': None, 'learning_rate': 0.01, 'loss': 'linear', 'n_estimators': 500, 'random_state': 42}"
AdaBoostRegressor,VarianceThreshold,MinMaxScaler(),19,250521.3433271864,0.6347223989955726,0.5848504539784929,"{'base_estimator': None, 'learning_rate': 0.01, 'loss': 'linear', 'n_estimators': 500, 'random_state': 42}"
AdaBoostRegressor,VarianceThreshold,RobustScaler(),19,250796.6869199559,0.6326305657351705,0.5839373853880487,"{'base_estimator': None, 'learning_rate': 0.01, 'loss': 'linear', 'n_estimators': 500, 'random_state': 42}"
AdaBoostRegressor,VarianceThreshold,-,16,250841.0792213876,0.6325607260615798,0.5837900819139115,"{'base_estimator': None, 'learning_rate': 0.01, 'loss': 'linear', 'n_estimators': 500, 'random_state': 42}"
AdaBoostRegressor,VarianceThreshold,StandardScaler(),19,250997.8910390951,0.6334314974063282,0.5832695369176074,"{'base_estimator': None, 'learning_rate': 0.01, 'loss': 'linear', 'n_estimators': 500, 'random_state': 42}"
AdaBoostRegressor,VarianceThreshold,RobustScaler(),13,256868.38235672523,0.6152353060657216,0.5635480831038628,"{'base_estimator': None, 'learning_rate': 0.01, 'loss': 'linear', 'n_estimators': 500, 'random_state': 42}"
AdaBoostRegressor,VarianceThreshold,MinMaxScaler(),13,257256.55879012565,0.6149913734712452,0.562227964528738,"{'base_estimator': None, 'learning_rate': 0.01, 'loss': 'linear', 'n_estimators': 500, 'random_state': 42}"
AdaBoostRegressor,VarianceThreshold,-,13,257323.57442390127,0.6148878030538826,0.5619998545689375,"{'base_estimator': None, 'learning_rate': 0.01, 'loss': 'linear', 'n_estimators': 500, 'random_state': 42}"
AdaBoostRegressor,VarianceThreshold,StandardScaler(),13,257940.9597980237,0.6140486534339488,0.5598955834647208,"{'base_estimator': None, 'learning_rate': 0.01, 'loss': 'linear', 'n_estimators': 500, 'random_state': 42}"
AdaBoostRegressor,SelectKBest,RobustScaler(),19,225969.97991475856,0.7114925128020075,0.6622334811996782,"{'base_estimator': None, 'learning_rate': 0.01, 'loss': 'linear', 'n_estimators': 500, 'random_state': 42}"
AdaBoostRegressor,SelectKBest,StandardScaler(),19,226141.04844204063,0.7111054514385169,0.6617218814523733,"{'base_estimator': None, 'learning_rate': 0.01, 'loss': 'linear', 'n_estimators': 500, 'random_state': 42}"
AdaBoostRegressor,SelectKBest,MinMaxScaler(),19,226764.3548610068,0.7103077956341315,0.6598545379915393,"{'base_estimator': None, 'learning_rate': 0.01, 'loss': 'linear', 'n_estimators': 500, 'random_state': 42}"
AdaBoostRegressor,-,-,22,227058.200407749,0.7096627513367993,0.658972432970957,"{'base_estimator': None, 'learning_rate': 0.01, 'loss': 'linear', 'n_estimators': 500, 'random_state': 42}"
